Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.06033;0.07516
0.07733;0.0753
0.094;0.07496
0.1107;0.07536
0.1273;0.07638
0.144;0.07695
0.1607;0.07577
0.1773;0.07494
0.194;0.07522
0.2107;0.07405
0.2273;0.0758
0.244;0.07491
0.2607;0.07589
0.2773;0.07647
0.2943;0.07585
0.3113;0.07688
0.328;0.0772
0.3447;0.07652
0.3613;0.07508
0.378;0.07586
0.3947;0.07734
0.4113;0.07841
0.428;0.07928
0.4447;0.08062
0.4613;0.08157
0.478;0.08239
0.4947;0.08386
0.5113;0.08398
0.528;0.08367
0.5447;0.08314
0.5613;0.08207
0.578;0.08402
0.5947;0.08521
0.6113;0.08604
0.628;0.08721
0.6447;0.08689
0.6613;0.08737
0.6783;0.08865
0.6953;0.0896
0.712;0.09135
0.7287;0.09272
0.7453;0.0921
0.762;0.08829
0.7787;0.0891
0.7953;0.08966
0.812;0.09087
0.8287;0.09183
0.8453;0.09208
0.862;0.09353
0.879;0.0949
0.896;0.09399
0.913;0.09493
0.9297;0.09802
0.9463;0.09956
0.963;0.1025
0.9797;0.1031
0.9967;0.1046
1.013;0.1067
1.03;0.1086
1.047;0.1094
1.063;0.1113
1.08;0.1119
1.097;0.1146
1.113;0.1162
1.13;0.1143
1.147;0.1145
1.163;0.1173
1.18;0.1207
1.197;0.1231
1.213;0.1261
1.23;0.1266
1.247;0.1293
1.263;0.1308
1.28;0.1326
1.297;0.1345
1.313;0.1379
1.33;0.1389
1.347;0.1385
1.363;0.1378
1.38;0.1381
1.397;0.1393
1.413;0.1414
1.43;0.1415
1.447;0.1427
1.463;0.1458
1.48;0.1446
1.497;0.1461
1.513;0.1485
1.53;0.1511
1.547;0.1511
1.563;0.1532
1.581;0.1516
1.598;0.1521
1.614;0.1532
1.631;0.1569
1.648;0.1586
1.664;0.1614
1.681;0.1638
1.698;0.167
1.715;0.1693
1.731;0.1732
1.748;0.1753
1.765;0.1775
1.781;0.1787
1.798;0.1788
1.815;0.1815
1.832;0.1838
1.849;0.1868
1.866;0.1897
1.882;0.1917
1.899;0.1937
1.916;0.196
1.932;0.1994
1.949;0.2035
1.966;0.206
1.982;0.2093
1.999;0.2138
2.016;0.2151
2.032;0.2177
2.049;0.2214
2.066;0.2213
2.082;0.2206
2.099;0.2232
2.116;0.2262
2.133;0.2284
2.149;0.2308
2.166;0.2338
2.183;0.234
2.2;0.2367
2.216;0.2391
2.233;0.2424
2.25;0.2453
2.267;0.2482
2.284;0.2521
2.3;0.2562
2.317;0.2598
2.334;0.2633
2.351;0.2657
2.367;0.2691
2.384;0.2734
2.401;0.2783
2.417;0.2815
2.434;0.2856
2.451;0.2896
2.467;0.2958
2.484;0.2999
2.501;0.3034
2.517;0.3087
2.534;0.314
2.551;0.3192
2.568;0.325
2.584;0.3301
2.601;0.3348
2.618;0.3382
2.634;0.3435
2.651;0.3483
2.668;0.3536
2.685;0.359
2.702;0.3652
2.718;0.3721
2.735;0.3793
